h3_id,timestamp,current_pm25,pm25_observed_flag,pm25_interpolated_flag,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,wind_direction_sin,wind_direction_cos,fire_count_nearby,distance_to_nearest_fire_km,road_density_km_per_sqkm,primary_secondary_road_length_m,building_count,built_up_ratio,industrial_landuse_area_sqm,commercial_landuse_area_sqm,residential_landuse_area_sqm,green_area_sqm,poi_count,area_sqkm,centroid_lat,centroid_lon,pm25_lag_1h,pm25_lag_3h,pm25_lag_24h,hour,day_of_week,month,pm25_t_plus_12h
8760145b0ffffff,2026-04-17 12:00:00+00:00,86.34101641175678,0,1,34.4,20,11.9,124.0,0.0,0.8290375725550417,-0.5591929034707467,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,89.80011976358458,91.14108746293014,85.60803100391118,12,4,4,41.14544144602599
8760145b0ffffff,2026-04-17 13:00:00+00:00,81.54070151235385,0,1,33.4,17,9.6,128.0,0.0,0.788010753606722,-0.6156614753256583,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,86.34101641175678,87.70314832197904,75.71252748144391,13,4,4,48.08305573606701
8760145b0ffffff,2026-04-17 14:00:00+00:00,82.99018792587552,0,1,31.8,17,12.7,117.0,0.0,0.8910065241883679,-0.45399049973954675,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,81.54070151235385,89.80011976358458,66.03252877878856,14,4,4,54.05275508034163
8760145b0ffffff,2026-04-17 15:00:00+00:00,73.80200110729575,0,1,30.1,23,11.3,127.0,0.0,0.7986355100472927,-0.6018150231520484,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,82.99018792587552,86.34101641175678,77.02680231917772,15,4,4,58.337821346533
8760145b0ffffff,2026-04-17 16:00:00+00:00,65.70915524431142,0,1,29.0,35,12.6,124.0,0.0,0.8290375725550417,-0.5591929034707467,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,73.80200110729575,81.54070151235385,67.38916263311692,16,4,4,61.72784670607128
8760145b0ffffff,2026-04-17 17:00:00+00:00,60.10534277788228,0,1,28.0,42,11.8,124.0,0.0,0.8290375725550417,-0.5591929034707467,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,65.70915524431142,82.99018792587552,57.4995158606513,17,4,4,66.18207971931264
8760145b0ffffff,2026-04-17 18:00:00+00:00,53.28570550308736,0,1,27.4,46,10.0,129.0,0.0,0.777145961456971,-0.6293203910498373,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,60.10534277788228,73.80200110729575,53.61374379316979,18,4,4,80.18697166725745
8760145b0ffffff,2026-04-17 19:00:00+00:00,51.10363427115795,0,1,26.5,50,10.0,124.0,0.0,0.8290375725550417,-0.5591929034707467,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,53.28570550308736,65.70915524431142,43.33915300686089,19,4,4,81.62780338270017
8760145b0ffffff,2026-04-17 20:00:00+00:00,48.56376010028992,0,1,25.9,52,10.3,117.0,0.0,0.8910065241883679,-0.45399049973954675,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,51.10363427115795,60.10534277788228,45.40933103874938,20,4,4,86.38555191461298
8760145b0ffffff,2026-04-17 21:00:00+00:00,36.391269925914465,0,1,25.4,54,10.3,112.0,0.0,0.9271838545667874,-0.37460659341591207,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,48.56376010028992,53.28570550308736,37.76019299484792,21,4,4,78.59761757699341
